P0,1704,390
P1,1884,457
P2,2132,555
P3,1439,624
P4,1092,557
P5,902,518
P6,662,470
P7,24,345
P8,722,11
P9,1479,301
P10,1709,588
P11,1712,726
P12,2392,840
P13,888,662
P14,883,762
P15,881,842
