frame_num,x,y
0,1767,498
1,1733,505
2,1711,513
3,1691,522
4,1665,528
5,1646,536
6,1626,544
7,1606,547
8,1569,561
9,1547,566
10,1528,572
11,1526,573
12,1511,576
13,1494,584
14,1479,586
15,1460,589
16,1440,593
17,1425,596
18,1415,595
19,1396,605
20,1379,605
21,1362,605
22,1353,605
23,1334,605
24,1320,606
25,1305,606
26,1289,607
27,1274,607
28,1259,606
29,1251,608
30,1238,608
31,1224,607
32,1212,608
33,1201,607
34,1190,606
35,1175,603
36,1155,604
37,1154,602
38,1141,603
39,1133,601
40,1123,591
41,1112,594
42,1101,590
43,1093,588
44,1079,586
45,1071,579
46,1061,578
47,1049,576
48,1044,572
49,1034,570
50,1026,564
51,1016,561
52,1007,558
53,999,553
54,991,546
55,983,544
56,975,541
57,969,534
58,958,530
59,951,527
60,945,522
61,934,423
62,928,511
63,920,506
64,914,502
65,909,499
66,901,493
67,893,482
68,885,477
69,883,473
70,873,464
71,866,461
72,860,452
73,854,446
74,846,437
75,837,429
76,834,425
77,829,419
78,824,412
79,818,406
80,813,399
81,808,393
82,804,395
83,806,400
84,807,405
85,813,407
